                              BAB III
             KAMUS ANGGAH-UNGGUH KRUNA
                        BALI – INDONESIA


       Berikut akan disajikan kosakata bahasa Bali lengkap dengan
anggah-ungguh kruna serta padanannya dalam bahasa Indonesia.
Pada kolom satu ditulis kruna andap (biasa), pada kolom dua ditulis
kruna alus singgih (jika ada), pada kolom tiga ditulis kruna alus sor
(kalau ada), pada kolom empat ditulis kruna alus mider (jika bentuk
alusnya hanya satu) atau ditulis kruna mider (jika kata-kata tersebut
tidak memiliki bentuk halus). Selanjutnya, pada kolom lima ditulis
kata bahasa Indonesianya.

 Kt.Andap    Kata Asi     Kata Aso      Ami/Mider      Kata BI
 aa          -            -             inggih         iya
 aab         -            -             pakibeh        keadaan
 aad         -            -             surud          surut
 ngaadang    -            -             nyurudang      makin surut
 aag         -            -             sigar          pecah
 aagang      -            -             sigarang       pecahkan
 aaganga     -            -             sigaranga      dipecahkan
 aang        -            -             aang           serak
 aangan      -            -             aangan         kering
 aas         -            -             aas            rontok
 aasan       -            -             aasan          rontokan
 ngaasang    -            -             ngaasang       makin rontok

 aat         -            -             susrusa        serius

                                 20
                                                             21

ngaat      -           -          meled        sangat ingin
aba        bakta       buat       -            bawa
abang      baktang     buatang    -            bawakan
abana      baktanga    buatanga   -            dibawakan
abab       -           -          sliwer       keliaran
mababan    -           -          pasliwer     berkeliaran
abah       paripolah   gaduhan    -            kebiasaan
abén       lebon       abén       -            abukan
abénanga   kalebon     kabénang   -            diabenkan
ngabén     nglebon     ngabén     -            ngaben
abet       paripolah   gaduhan    -            prilaku
mabet      sumbung     sombong    -            sombong
abesik     -           -          asiki        satu
abian      -           -          tanduran     tanaman
mabian     -           -          matanduran   bertanam
abin       -           -          abih         pangku
abina      -           -          kaabih       dipangku
ngabin     -           -          ngabih       memangku
abing      -           -          abing        lereng
abiuh      -           -          abiuh        besar-kekar
abon       -           -          abon         abon
abot       -           -          méweh        sulit
abra       acreng      abra       -            ganteng
abu        -           -          awu          abu/debu
abu-abu    -           -          awu-awu      abu-abu
                                                             22

abug      -          -          abug          jajan abug
abut      -          -          unus          cabut
abuta     -          -          kaunus        dicabut
acak      -          -          acak          acak
acaka     -          -          kacak         diacak
acep      apti       ajap       -             harap
kacep     kapti      kajap      -             diharap
acep      asti       ayat       -             puja
kacep     kasti      kayat      -             dipuja
aci       -          -          aci           upakara
aci       -          -          aci           aluskan
ngaci     -          -          ngaci         mengaluskan
acintia   -          -          tankamanah    tak terpikir
ada       -          -          wénten        ada
adanga    -          -          kawéntenang   diadakan
adan      peséngan   wasta      aran          nama
